Ticker,DELL,DELL,DELL,DELL,DELL,DELL,CRM,CRM,CRM,CRM,CRM,CRM,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AMD,AMD,AMD,AMD,AMD,AMD,CVX,CVX,CVX,CVX,CVX,CVX,OXY,OXY,OXY,OXY,OXY,OXY,META,META,META,META,META,META,HAL,HAL,HAL,HAL,HAL,HAL,COP,COP,COP,COP,COP,COP,VRTX,VRTX,VRTX,VRTX,VRTX,VRTX,TMO,TMO,TMO,TMO,TMO,TMO,VZ,VZ,VZ,VZ,VZ,VZ,DE,DE,DE,DE,DE,DE,T,T,T,T,T,T,MRK,MRK,MRK,MRK,MRK,MRK,NEM,NEM,NEM,NEM,NEM,NEM
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-08,521.1500244140625,538.469970703125,515.5599975585938,533.8800048828125,533.8800048828125,6662500,253.72000122070312,254.0,245.88999938964844,249.1199951171875,248.6824951171875,17482700.0,233.11000061035156,233.7100067138672,224.85000610351562,225.72999572753906,225.47769165039062,122965600,317.1000061035156,320.70001220703125,314.8999938964844,316.2200012207031,316.2200012207031,35477100,488.9200134277344,512.3599853515625,486.57000732421875,505.739990234375,505.739990234375,28166500,211.25,213.30999755859375,209.17999267578125,209.8000030517578,209.8000030517578,7703900.0,61.060001373291016,62.029998779296875,60.349998474121094,60.650001525878906,60.37297058105469,6434500.0,616.2100219726562,624.7999877929688,609.739990234375,613.47998046875,612.9962158203125,18909700,37.439998626708984,37.72999954223633,36.56999969482422,36.79999923706055,36.79999923706055,8448400.0,136.14999389648438,137.52999877929688,134.13999938964844,135.0399932861328,135.0399932861328,5175600.0,529.6400146484375,535.0,520.2000122070312,528.9000244140625,528.9000244140625,1121100.0,602.2000122070312,608.0999755859375,595.8200073242188,603.02001953125,602.5581665039062,2695300.0,49.97999954223633,50.650001525878906,49.77000045776367,50.40999984741211,50.40999984741211,16036300,687.2100219726562,690.5800170898438,680.260009765625,680.72998046875,680.72998046875,883500.0,25.540000915527344,25.90999984741211,25.450000762939453,25.600000381469727,25.600000381469727,39871800,148.41000366210938,149.60000610351562,146.27999877929688,148.4600067138672,147.5888214111328,11187000.0,126.52999877929688,130.0399932861328,126.29000091552734,127.08999633789062,127.08999633789062,9015100.0
2026-09-09,538.469970703125,562.989990234375,532.3900146484375,535.25,535.25,7282300,249.77999877929688,254.8000030517578,243.4499969482422,244.16000366210938,243.73121643066406,11853700.0,225.27999877929688,226.17999267578125,223.4600067138672,223.6699981689453,223.4199981689453,82955500,315.489990234375,319.1499938964844,309.8999938964844,315.3399963378906,315.3399963378906,65640000,507.5,526.7899780273438,506.3599853515625,521.0999755859375,521.0999755859375,22152400,212.8800048828125,215.27999877929688,212.22999572753906,213.80999755859375,213.80999755859375,8384700.0,61.66999816894531,62.209999084472656,61.209999084472656,61.29999923706055,61.02000045776367,8981700.0,648.6400146484375,657.8599853515625,638.5599975585938,653.6900024414062,653.1744995117188,35900700,37.29999923706055,37.79999923706055,36.86000061035156,37.130001068115234,37.130001068115234,9378400.0,137.00999450683594,137.8699951171875,136.14999389648438,136.52999877929688,136.52999877929688,5549700.0,524.0,528.1699829101562,520.0800170898438,521.1199951171875,521.1199951171875,958300.0,601.9299926757812,609.510009765625,597.3099975585938,605.6900024414062,605.22607421875,1962400.0,50.189998626708984,50.290000915527344,48.81999969482422,49.7400016784668,49.7400016784668,22574700,681.3200073242188,688.5900268554688,672.6199951171875,677.2100219726562,677.2100219726562,1035800.0,25.420000076293945,25.440000534057617,24.799999237060547,25.149999618530273,25.149999618530273,51354000,148.9600067138672,149.41000366210938,147.17999267578125,147.52999877929688,146.66427612304688,8546000.0,129.72999572753906,130.47999572753906,127.55000305175781,128.7100067138672,128.7100067138672,7578600.0
2026-09-10,523.8300170898438,530.510009765625,506.25,506.6199951171875,506.6199951171875,5917200,245.35000610351562,248.5,241.75,243.0,242.5732421875,10732600.0,220.52999877929688,220.99000549316406,217.1999969482422,218.36000061035156,218.36000061035156,105768000,316.6700134277344,326.739990234375,316.510009765625,326.57000732421875,326.57000732421875,70011900,509.07000732421875,516.3300170898438,502.80999755859375,503.6000061035156,503.6000061035156,16005500,217.39999389648438,217.39999389648438,211.33999633789062,212.75999450683594,212.75999450683594,9625200.0,62.09000015258789,62.2400016784668,60.189998626708984,61.15999984741211,61.15999984741211,9151900.0,653.7100219726562,663.5,642.1400146484375,644.3800048828125,643.8718872070312,21531900,37.5,37.56999969482422,35.7599983215332,36.06999969482422,36.06999969482422,8623800.0,138.75,138.88999938964844,134.6999969482422,137.0399932861328,137.0399932861328,5596700.0,519.1300048828125,522.5999755859375,514.3200073242188,514.5599975585938,514.5599975585938,815000.0,596.469970703125,606.6300048828125,594.8200073242188,603.1799926757812,602.718017578125,1545800.0,50.0099983215332,50.61000061035156,49.779998779296875,49.970001220703125,49.970001220703125,18475800,675.030029296875,682.0,671.4000244140625,677.9400024414062,677.9400024414062,1175900.0,25.3700008392334,25.770000457763672,25.200000762939453,25.549999237060547,25.549999237060547,34185700,147.94000244140625,148.0,144.10000610351562,144.7100067138672,143.86082458496094,7542000.0,124.66000366210938,127.27999877929688,123.73999786376953,126.13999938964844,126.13999938964844,6279500.0
2026-09-11,518.0700073242188,567.75,517.52001953125,567.2899780273438,567.2899780273438,14473500,242.02000427246094,250.5500030517578,242.02000427246094,247.72000122070312,247.2849578857422,9738300.0,221.24000549316406,222.0,218.14999389648438,218.2899932861328,218.2899932861328,89060100,327.45001220703125,336.2200012207031,326.29998779296875,332.2699890136719,332.2699890136719,50716900,510.7099914550781,521.0599975585938,501.3500061035156,516.1300048828125,516.1300048828125,19026200,212.02000427246094,215.5500030517578,212.02000427246094,214.05999755859375,214.05999755859375,6570300.0,61.040000915527344,61.4900016784668,60.5,61.459999084472656,61.459999084472656,7798000.0,653.510009765625,664.239990234375,646.2000122070312,648.030029296875,647.51904296875,16925000,36.209999084472656,36.529998779296875,35.459999084472656,35.84000015258789,35.84000015258789,9916300.0,136.44000244140625,137.66000366210938,135.52999877929688,137.35000610351562,137.35000610351562,5524200.0,522.0999755859375,522.0999755859375,511.80999755859375,515.4400024414062,515.4400024414062,875500.0,609.9600219726562,615.239990234375,606.1500244140625,609.8200073242188,609.3529052734375,1787000.0,50.29999923706055,50.81999969482422,50.220001220703125,50.61000061035156,50.61000061035156,16456300,685.9199829101562,692.6900024414062,675.4299926757812,675.739990234375,675.739990234375,1322300.0,25.770000457763672,26.260000228881836,25.65999984741211,26.059999465942383,26.059999465942383,43220300,145.52000427246094,145.89999389648438,143.67999267578125,143.92999267578125,143.08538818359375,8678200.0,127.47000122070312,129.25999450683594,125.91000366210938,126.80999755859375,126.80999755859375,5554000.0
2026-09-14,538.5700073242188,546.2899780273438,525.8499755859375,534.280029296875,534.280029296875,9173800,255.75,260.17999267578125,251.5,259.42999267578125,258.9743957519531,12963700.0,211.24000549316406,212.77000427246094,208.92999267578125,210.9600067138672,210.9600067138672,132267200,334.7900085449219,335.5,331.3399963378906,333.0799865722656,333.0799865722656,39269100,486.2799987792969,498.3900146484375,480.3299865722656,493.4100036621094,493.4100036621094,24810100,217.0,217.64999389648438,211.27000427246094,212.1699981689453,212.1699981689453,9366000.0,62.540000915527344,62.97999954223633,61.38999938964844,61.779998779296875,61.779998779296875,9068800.0,657.8300170898438,668.5999755859375,649.219970703125,665.5999755859375,665.0751342773438,19332300,35.939998626708984,36.0,34.619998931884766,35.0099983215332,35.0099983215332,9888400.0,138.88999938964844,139.82000732421875,136.0500030517578,136.6699981689453,136.6699981689453,6580400.0,522.1699829101562,525.2899780273438,514.6599731445312,519.510009765625,519.510009765625,836900.0,614.9400024414062,616.0,605.6500244140625,613.6199951171875,613.1500244140625,1271100.0,50.939998626708984,51.4900016784668,50.91999816894531,51.290000915527344,51.290000915527344,18116700,673.0800170898438,687.969970703125,668.0,681.4600219726562,681.4600219726562,1029700.0,26.3799991607666,26.6200008392334,26.15999984741211,26.510000228881836,26.510000228881836,38499400,146.4199981689453,147.08999633789062,144.10000610351562,144.85000610351562,144.0,7412500.0,123.43000030517578,123.66999816894531,121.61000061035156,123.06999969482422,123.06999969482422,6813400.0
2026-09-15,541.5499877929688,568.6699829101562,539.0,543.510009765625,543.510009765625,9830600,256.8900146484375,262.3399963378906,255.0800018310547,255.64999389648438,255.20101928710938,11502800.0,213.3800048828125,213.94000244140625,211.16000366210938,212.1699981689453,212.1699981689453,88059700,330.1400146484375,331.7799987792969,328.3500061035156,331.3399963378906,331.3399963378906,31748200,501.70001220703125,513.6699829101562,497.510009765625,504.20001220703125,504.20001220703125,17134000,212.88999938964844,217.77999877929688,212.74000549316406,217.77000427246094,217.77000427246094,9557600.0,62.11000061035156,63.77000045776367,62.11000061035156,63.52000045776367,63.52000045776367,10379700.0,659.2999877929688,678.8699951171875,656.2000122070312,670.239990234375,669.7114868164062,19502800,35.290000915527344,35.95000076293945,35.0099983215332,35.66999816894531,35.66999816894531,9422900.0,137.57000732421875,141.6199951171875,136.32000732421875,141.22000122070312,141.22000122070312,6560900.0,519.9400024414062,519.9400024414062,511.0,514.6300048828125,514.6300048828125,824800.0,615.469970703125,641.969970703125,613.9500122070312,641.3900146484375,641.3900146484375,3022500.0,51.11000061035156,51.66999816894531,51.11000061035156,51.45000076293945,51.45000076293945,18718100,681.4000244140625,689.3699951171875,680.5900268554688,684.0399780273438,684.0399780273438,1526500.0,26.299999237060547,26.93000030517578,26.299999237060547,26.719999313354492,26.719999313354492,37332500,143.85000610351562,144.14999389648438,142.32000732421875,143.7899932861328,143.7899932861328,8291600.0,123.16999816894531,124.22000122070312,121.41000366210938,124.19000244140625,124.19000244140625,5821400.0
2026-09-16,553.6300048828125,576.75,550.0900268554688,563.2899780273438,563.2899780273438,13108100,251.85000610351562,256.3999938964844,249.60000610351562,250.5399932861328,250.09999084472656,9423800.0,214.13999938964844,216.75999450683594,212.5,213.89999389648438,213.89999389648438,96563600,332.5299987792969,335.4800109863281,330.70001220703125,332.4100036621094,332.4100036621094,35981000,517.3900146484375,527.25,506.04998779296875,512.5,512.5,22317700,215.08999633789062,215.27999877929688,210.3699951171875,211.5399932861328,211.5399932861328,8045100.0,62.400001525878906,62.459999084472656,59.310001373291016,59.36000061035156,59.36000061035156,11548300.0,679.9099731445312,685.3099975585938,671.9099731445312,673.3099975585938,672.779052734375,17217800,35.459999084472656,35.560001373291016,34.119998931884766,34.5099983215332,34.5099983215332,13783200.0,138.4199981689453,139.19000244140625,132.3800048828125,132.5399932861328,132.5399932861328,9045900.0,513.7999877929688,517.9500122070312,511.3500061035156,513.260009765625,513.260009765625,638200.0,642.0,653.4000244140625,638.0,648.4299926757812,648.4299926757812,2880000.0,51.25,51.560001373291016,49.33000183105469,49.7599983215332,49.7599983215332,24326800,681.72998046875,684.530029296875,665.4500122070312,669.469970703125,669.469970703125,871600.0,26.6200008392334,26.84000015258789,25.649999618530273,25.860000610351562,25.860000610351562,37808900,143.9600067138672,144.97000122070312,143.5,144.91000366210938,144.91000366210938,7226900.0,125.86000061035156,126.0,120.0,121.76000213623047,121.76000213623047,6354300.0
2026-09-17,570.4000244140625,593.97998046875,565.5,588.4000244140625,588.4000244140625,9350700,244.17999267578125,247.0,241.52000427246094,242.85000610351562,242.85000610351562,16611300.0,218.3800048828125,219.91000366210938,217.14999389648438,219.33999633789062,219.33999633789062,94191300,334.7699890136719,338.3399963378906,330.17999267578125,337.0,337.0,36700200,533.5999755859375,551.4199829101562,527.5999755859375,545.0900268554688,545.0900268554688,28464700,209.61000061035156,211.75,209.1699981689453,211.57000732421875,211.57000732421875,7387300.0,58.66999816894531,59.470001220703125,58.5099983215332,59.290000915527344,59.290000915527344,8791200.0,682.4400024414062,683.2000122070312,667.0499877929688,682.3099975585938,681.77197265625,15928000,34.400001525878906,34.630001068115234,33.81999969482422,34.029998779296875,34.029998779296875,13477100.0,131.3000030517578,133.39999389648438,130.97000122070312,133.19000244140625,133.19000244140625,7329300.0,518.3499755859375,519.0700073242188,510.20001220703125,516.3400268554688,516.3400268554688,899600.0,656.75,663.5700073242188,649.0,658.3200073242188,658.3200073242188,4199600.0,49.900001525878906,49.9900016784668,48.31999969482422,48.33000183105469,48.33000183105469,28685200,675.6599731445312,687.9199829101562,672.0900268554688,685.6300048828125,685.6300048828125,1232200.0,25.979999542236328,26.040000915527344,25.34000015258789,25.389999389648438,25.389999389648438,37771700,145.74000549316406,147.64999389648438,145.32000732421875,147.14999389648438,147.14999389648438,11060600.0,125.5,125.79000091552734,123.31999969482422,124.38999938964844,124.38999938964844,5362400.0
